Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2025/2/4,2025,2,4,,0.6,,-8.1,,-3.7,,21.7,,0,,,,,,0,,6,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/5,2025,2,5,,-3.6,,-8.1,,-5.8,,23.8,,0,,,,,,0,,7,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/6,2025,2,6,,1.4,,-3.6,,-1.1,,19.1,,0,,,,,,3.1,,7,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/7,2025,2,7,,-0.6,,-6.9,,-3.8,,21.8,,0,,,,,,0,,9,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/8,2025,2,8,,-1.3,,-6.4,,-3.8,,21.8,,0,,,,,,6.1,,9,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/9,2025,2,9,,0.8,,-4.8,,-2,,20,,0,,,,,,1.9,,21,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/10,2025,2,10,,-2.2,,-7.2,,-4.7,,22.7,,0,,,,,,0,,17,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/11,2025,2,11,,-0.5,,-8.6,,-4.5,,22.5,,0,,,,,,0,,16,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/12,2025,2,12,,-3.2,,-8.2,,-5.7,,23.7,,0,,,,,,13.3,,14,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/13,2025,2,13,,-1.5,,-5.9,,-3.7,,21.7,,0,,,,,,10.5,,34,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/2/14,2025,2,14,,-3.3,,-6.7,,-5,,23,,0,,,,,,0,,31,,,M,,M
