Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2023/2/2,2023,2,2,,2.9,,-9.3,,-3.2,,21.2,,0,,,,,,0,,7,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/3,2023,2,3,,-9.3,,-20.5,,-14.9,,32.9,,0,,,,,,0,,7,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/4,2023,2,4,,-0.2,,-20,,-10.1,,28.1,,0,,,,,,0.4,,8,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/5,2023,2,5,,5.5,,-0.3,,2.6,,15.4,,0,,,,,,0,,9,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/6,2023,2,6,,3.3,,-2.4,,0.5,,17.5,,0,,,,,,0,,6,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/7,2023,2,7,,8.9,,-0.1,,4.4,,13.6,,0,,,,,,0,,5,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/8,2023,2,8,,7.7,,2.3,,5,,13,,0,,,,,,0,,1,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/9,2023,2,9,,7,,2,,4.5,,13.5,,0,,,,,,28.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/10,2023,2,10,,6.1,,-2.3,,1.9,,16.1,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/11,2023,2,11,,2.1,,-3.8,,-0.8,,18.8,,0,,,,,,0,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/12,2023,2,12,,7.1,,0.1,,3.6,,14.4,,0,,,,,,0,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/13,2023,2,13,,9.8,,-0.6,,4.6,,13.4,,0,,,,,,0,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/14,2023,2,14,,8.5,,-0.4,,4,,14,,0,,,,,,0,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/15,2023,2,15,,15.3,,6.2,,10.7,,7.3,,0,,,,,,0.2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/16,2023,2,16,,6.6,,-0.2,,3.2,,14.8,,0,,,,,,4.7,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/17,2023,2,17,,1,,-7.9,,-3.5,,21.5,,0,,,,,,5.7,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/2/18,2023,2,18,,2.8,,-6.9,,-2,,20,,0,,,,,,0,,,,,M,,M
